row_id,Game Name,Discount,Price,Rating,Release Date
1,Sea of Stars,-33%,"R$ 66,99",86.99%,Aug 2023
2,The Case of the Golden Idol,-40%,"R$ 22,79",95.16%,Oct 2022
3,Minishoot' Adventures,-25%,"R$ 29,99",93.93%,Apr 2024
4,UNDERDOGS,-42%,"R$ 51,61",92.46%,Jan 2024
5,STORY OF SEASONS: Friends of Mineral Town,-75%,"R$ 23,49",90.71%,Jul 2020
6,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,-90%,"R$ 4,99",90.61%,Sep 2011
7,Wall World,-70%,"R$ 5,09",89.11%,Apr 2023
8,Anger Foot,-30%,"R$ 51,79",88.92%,Jul 2024
9,Rune Factory 3 Special,-60%,"R$ 55,99",88.65%,Sep 2023
10,Maniac,-35%,"R$ 11,04",87.16%,Mar 2024
11,Coffee Caravan,-25%,"R$ 28,86",86.63%,May 2024
12,Rising Storm 2: Vietnam,-95%,"R$ 2,29",85.30%,May 2017
13,Ratopia,-25%,"R$ 44,99",84.57%,Nov 2023
14,Rune Factory 4 Special,-70%,"R$ 35,99",83.93%,Dec 2021
15,Swords and Sandals Immortals,-60%,"R$ 13,19",81.84%,Mar 2023
16,STORY OF SEASONS: Pioneers of Olive Town,-65%,"R$ 55,99",80.50%,Sep 2021
17,shapez 2,-25%,"R$ 41,24",95.07%,Aug 2024
18,候鸟,-50%,"R$ 11,39",93.73%,Jan 2023
19,The Legend of Heroes: Trails in the Sky SC,-35%,"R$ 45,49",93.68%,Oct 2015
20,月に寄りそう乙女の作法,-43%,"R$ 43,02",93.49%,Jun 2022
21,Insomnia: Theater in the Head,-26%,"R$ 6,46",92.89%,Dec 2022
22,"Little Kitty, Big City",-30%,"R$ 51,79",92.66%,May 2024
23,BZZZT,-60%,"R$ 7,99",91.72%,Nov 2023
24,The Legend of Heroes: Trails of Cold Steel,-50%,"R$ 36,49",91.51%,Aug 2017
25,Kitsune Tails,-20%,"R$ 31,99",91.48%,Aug 2024
26,Battle Chef Brigade Deluxe,-85%,"R$ 5,69",91.42%,Nov 2017
27,SENRAN KAGURA ESTIVAL VERSUS,-70%,"R$ 17,39",91.09%,Mar 2017
28,SENRAN KAGURA SHINOVI VERSUS,-60%,"R$ 15,19",91.09%,Jun 2016
29,The Legend of Heroes: Trails in the Sky,-50%,"R$ 18,49",90.85%,Jul 2014
30,突然＊恋人,-30%,"R$ 62,29",90.81%,Apr 2024
31,Otome Riron to Sono Shuuhen -École de Paris-,-33%,"R$ 72,35",90.23%,Dec 2023
32,Iron Meat,-20%,"R$ 47,99",90.15%,Sep 2024
33,Jusant,-40%,"R$ 52,49",89.97%,Oct 2023
34,The Legend of Heroes: Trails in the Sky the 3rd,-25%,"R$ 41,99",89.72%,May 2017
35,The Legend of Heroes: Trails of Cold Steel II,-50%,"R$ 36,49",89.71%,Feb 2018
36,Fate/EXTELLA LINK,-70%,"R$ 28,19",89.61%,Mar 2019
37,The Operator,-15%,"R$ 37,81",89.55%,Jul 2024
38,Ys Origin,-75%,"R$ 9,24",89.49%,May 2012
39,We Were Here Expeditions: The FriendShip,-50%,"R$ 6,89",89.37%,Sep 2023
40,We Were Here Forever,-50%,"R$ 27,49",89.32%,May 2022
41,Venba,-50%,"R$ 23,49",89.29%,Jul 2023
42,Sakuna: Of Rice and Ruin,-50%,"R$ 37,74",89.01%,Nov 2020
43,SENRAN KAGURA Burst Re:Newal,-70%,"R$ 17,39",88.96%,Jan 2019
44,Shawarma Legend,-35%,"R$ 12,67",88.95%,Jul 2024
45,Game Of Fate,-12%,"R$ 50,20",88.42%,Oct 2024
46,Touhou: Scarlet Curiosity,-70%,"R$ 8,69",88.17%,Jul 2018
47,Fate/EXTELLA,-65%,"R$ 26,42",87.78%,Jul 2017
48,Backpack Battles,-20%,"R$ 33,59",87.43%,Mar 2024
49,SENRAN KAGURA Bon Appétit! - Full Course,-75%,"R$ 9,49",87.38%,Nov 2016
50,Potionomics,-20%,"R$ 37,99",87.32%,Oct 2022
51,Corpse Party (2021),-55%,"R$ 34,39",87.26%,Oct 2021
52,Ys: Memories of Celceta,-40%,"R$ 28,49",87.13%,Jul 2018
53,Xanadu Next,-70%,"R$ 8,69",87.08%,Nov 2016
54,Torn Away,-40%,"R$ 28,19",87.08%,Sep 2023
55,METAL SLUG 3,-80%,"R$ 2,99",87.07%,Feb 2014
56,"Cook, Serve, Delicious! 3?!",-80%,"R$ 7,59",87.06%,Oct 2020
57,Apollo Justice: Ace Attorney Trilogy,-40%,"R$ 127,80",87.06%,Jan 2024
58,Zwei: The Ilvard Insurrection,-60%,"R$ 15,19",87.05%,Oct 2017
59,BioShock® 2,-85%,"R$ 4,49",87.04%,Feb 2010
60,"Good Pizza, Great Pizza - Cooking Simulator Game",-50%,"R$ 14,00",86.86%,Jan 2023
61,Ys SEVEN,-40%,"R$ 27,59",86.83%,Aug 2017
62,METAL SLUG,-80%,"R$ 3,19",86.19%,Jun 2015
63,Tavern Talk,-20%,"R$ 43,99",86.08%,Jun 2024
64,Vanity Fair: The Pursuit,-25%,"R$ 24,75",85.57%,Feb 2024
65,River Town Factory,-33%,"R$ 31,48",85.35%,Feb 2024
66,Nitroplus Blasterz: Heroines Infinite Duel,-75%,"R$ 9,49",85.34%,Dec 2016
67,Lost Castle / 失落城堡,-60%,"R$ 7,99",85.25%,Sep 2016
68,EVERSPACE™ 2,-60%,"R$ 55,99",85.15%,Apr 2023
69,Ys VI: The Ark of Napishtim,-75%,"R$ 9,24",85.06%,Apr 2015
70,METAL SLUG X,-80%,"R$ 3,19",85.04%,Oct 2014
71,"Magical Mic Duel: Senpai, Hear My Spell",-50%,"R$ 11,75",84.91%,May 2024
72,Enshrouded,-20%,"R$ 71,99",84.50%,Jan 2024
73,Tavern Manager Simulator 🍻,-20%,"R$ 31,99",84.20%,Aug 2024
74,Monster Hunter Stories,-20%,"R$ 103,20",83.71%,Jun 2024
75,Portal Dungeon,-35%,"R$ 30,54",83.45%,Jul 2023
76,METAL SLUG 2,-80%,"R$ 2,79",83.40%,Apr 2016
77,STAR WARS™: Bounty Hunter™,-25%,"R$ 44,99",83.10%,Aug 2024
78,Chef RPG,-10%,"R$ 53,99",82.94%,Sep 2024
79,Six Days in Fallujah,-25%,"R$ 80,99",82.06%,Jun 2023
80,Chef Life: A Restaurant Simulator,-70%,"R$ 26,69",81.65%,Feb 2023
81,A Perfect Day,-41%,"R$ 35,39",81.27%,Feb 2022
82,Sea Power : Naval Combat in the Missile Age,-10%,"R$ 121,49",79.36%,Nov 2024
83,ICARUS,-50%,"R$ 50,99",70.15%,Dec 2021
84,Phoenix Wright: Ace Attorney Trilogy,-67%,"R$ 23,09",95.58%,Apr 2019
85,Lost in Play,-60%,"R$ 20,00",94.76%,Aug 2022
86,LIZARDS MUST DIE,-50%,"R$ 3,49",94.59%,Sep 2023
87,Aokana - Four Rhythms Across the Blue - EXTRA2,-27%,"R$ 54,01",94.27%,Dec 2022
88,Mouthwashing,-10%,"R$ 37,79",94.17%,Sep 2024
89,Epiphyllum in Love,-40%,"R$ 7,20",93.82%,Mar 2020
90,Total War: MEDIEVAL II – Definitive Edition,-75%,"R$ 21,24",93.72%,Nov 2006
91,Frog Detective 3: Corruption at Cowboy County,-45%,"R$ 9,34",93.65%,Oct 2022
92,Game Dev Tycoon,-75%,"R$ 7,49",93.49%,Aug 2013
93,PlateUp!,-66%,"R$ 20,39",93.09%,Aug 2022
94,Against the Storm,-50%,"R$ 34,99",92.93%,Dec 2023
95,Snufkin: Melody of Moominvalley,-20%,"R$ 47,99",92.83%,Mar 2024
96,恋爱绮谭 不存在的真相,-33%,"R$ 18,68",92.01%,Oct 2022
97,Tetris® Effect: Connected,-50%,"R$ 37,74",91.98%,Aug 2021
98,Empires of the Undergrowth,-50%,"R$ 34,99",91.84%,Jun 2024
99,小白兔电商~Bunny e-Shop,-33%,"R$ 18,75",91.68%,Nov 2021
100,Bagel Love Story,-10%,"R$ 12,41",91.67%,May 2024
101,Dystopika,-20%,"R$ 18,80",91.52%,Jun 2024
102,Wandersong,-75%,"R$ 9,24",91.45%,Sep 2018
103,Arco,-20%,"R$ 40,00",91.35%,Aug 2024
104,The Great Ace Attorney Chronicles,-60%,"R$ 47,99",91.21%,Jul 2021
105,Cyber Manhunt,-45%,"R$ 21,99",91.16%,Feb 2021
106,Our Adventurer Guild,-30%,"R$ 32,89",91.16%,Apr 2024
107,恋爱绮谭~不存在的夏天~,-50%,"R$ 9,29",91.13%,Oct 2020
108,Islets,-50%,"R$ 29,99",90.66%,Aug 2022
109,Cross Princess,-35%,"R$ 6,81",90.33%,Sep 2020
110,Short Stories Collection of Class Tangerine,-60%,"R$ 6,39",90.26%,Sep 2017
111,Golden Treasure: The Great Green,-50%,"R$ 18,99",89.94%,Jun 2019
112,Weird RPG,-50%,"R$ 11,39",89.70%,Oct 2022
113,Ten Trials of Babel: The Doppelganger Maze,-10%,"R$ 9,00",89.65%,Mar 2022
114,Ys: The Oath in Felghana,-70%,"R$ 8,39",89.58%,Mar 2012
115,My Vow to My Liege,-40%,"R$ 12,41",89.49%,Sep 2020
116,Galaxy Burger,-20%,"R$ 28,79",89.48%,Aug 2024
117,Xuan-Yuan Sword: The Scar of Sky,-50%,"R$ 19,50",89.46%,Aug 2021
118,Total War: NAPOLEON – Definitive Edition,-75%,"R$ 21,24",89.34%,Feb 2010
119,Pizza Possum,-40%,"R$ 14,10",89.32%,Sep 2023
120,Overcooked! 2,-75%,"R$ 14,97",89.26%,Aug 2018
121,Bear's Restaurant,-30%,"R$ 18,82",89.12%,Oct 2021
122,Choice of Life: Middle Ages 2,-60%,"R$ 9,40",89.04%,Sep 2022
123,Total War: EMPIRE – Definitive Edition,-75%,"R$ 21,24",89.01%,Mar 2009
124,Metro 2033 Redux,-90%,"R$ 9,90",88.97%,Aug 2014
125,Metro: Last Light Redux,-90%,"R$ 9,90",88.80%,Aug 2014
126,Cat God Ranch,-10%,"R$ 29,69",88.77%,Sep 2024
127,Cataclismo,-35%,"R$ 45,49",88.58%,Jul 2024
128,Medieval II: Total War™ Kingdoms,-75%,"R$ 21,24",88.48%,Aug 2007
129,Re: LieF ~ Shin'ainaru Anata e~,-60%,"R$ 26,39",88.47%,Feb 2021
130,Metro Exodus,-90%,"R$ 14,90",88.35%,Feb 2019
131,LUMINES REMASTERED,-70%,"R$ 8,69",88.26%,Jun 2018
132,CaseCracker,-50%,"R$ 10,34",88.10%,Dec 2022
133,Cyber Knights: Flashpoint,-34%,"R$ 58,73",88.05%,Oct 2023
134,Alina of the Arena,-35%,"R$ 18,84",87.99%,Oct 2022
135,The Wandering Village,-25%,"R$ 35,61",87.64%,Sep 2022
136,The Herbalist,-40%,"R$ 7,19",87.63%,Nov 2016
137,Clothing Store Simulator,-25%,"R$ 29,99",87.57%,Jun 2024
138,Monster Hunter: World,-67%,"R$ 32,96",86.92%,Aug 2018
139,Clanfolk,-50%,"R$ 34,99",86.92%,Jul 2022
140,HAAK,-40%,"R$ 20,99",86.75%,Aug 2022
141,To Be or Not to Be,-40%,"R$ 16,13",86.73%,Dec 2022
142,Let's Build a Zoo,-60%,"R$ 15,19",86.28%,Nov 2021
143,HighFleet,-35%,"R$ 37,69",86.01%,Jul 2021
144,Cloudpunk,-65%,"R$ 20,99",85.98%,Apr 2020
145,TrymenT ―献给渴望改变的你― AlphA篇,-68%,"R$ 28,15",85.64%,Feb 2020
